tweet,type
"@Cindy_LouWhooo @Petrine05647629 @CleanVisionCorp Hydrogen is not green, it's just oil companies other sick baby  $CLNV @CleanVisionCorp #GreenEnergy #cleanenergy #hydrogen #fuelcell #India #windpower #solarenergy #renewableenergy #Cleanseas #renewables #climatechange #Africa #Morocco #USA #climatecrisis #plasticwaste #PCN",0
@timesofindia @ArvindKejriwal U will be responsible coz you are thinking beyond your limits u need to think in nation interest but u are not I m not in favour of @RahulGandhi or @INCIndia they haven't done anything for Muslims but still we need to eliminate those 2 of them #LokSabhaElections2019 #ModiTohGaya,1
"#piracy is still deeply rooted in the Indian market, maybe across the world as well.  Recently I was travelling in a tier-2 city in #India and found Bilseri water bottles stacked at a local shop there. Obviously I was looking for #bisleri. It struck me su… https://t.co/Wa4M5tatiB",0
#Kerala reports #India ’s first confirmed #monkeypox case Man who arrived in #Thiruvananthapuram from #UAE tests positive.     https://t.co/TG85DPFju0,0
"Union Minister Prakash Javadekar says, it is ironical that #RahulGandhi is asking number of questions to PM #Modi and govt when his whole family is out on bail.",1
kajaljaihind hydcitypolic facebook priyankac gujaratpolic vibhoranand vijayrupanibjp modi toihyderabad hydtim invinciblebabu sureshnakhua bjpmahilamorcha zeenew hey hydcitypolic pleas take immedi action disgust islamist threaten respect kajal didi,1
"@RahulGandhi he himself in #krishnagiri  have accepted that , #NYAY wasnt proposed in detail without proper research &amp; discussion,just it was a pitching to get a number (72,000 per year)&amp; so #rahulgandhi he himself proves that he is immature in politics
#LokSabhaElections2019",1
"Happy journey! 🥺 We ship our goods across India. For further information, visit our Authentic Ayurvedic Medical Cannabis/ Hemp Leaf Extract Company at  https://t.co/2XjzMplkSe . #instagramdown #jhope #ITZY_SNEAKERS #ViratKohli𓃵 #JHOPEJackInTheBox #CBD #Thread #Hemp #india #ITZY  https://t.co/ifbQXWtwHK",0
"@_dharam_vir Enough is Enough 😡 Be a Proud Hindu 🕉️ Do Business with, Buy Products from, Take Services from, Tax Paying, Law Abiding Hindu's 💯 Hire Non-violent Hindu's for jobs 👍 Judges, Police, Govt, Politicians Don't Care 😢 Curse of #India 🇮🇳 #MinorityAppeasement #VoteBankPolitics 🙏  https://t.co/pZEt5Xc8FX",1
@PanchatapaBhat2 @_asiya_31 @fambruharmy @narendramodi @rsprasad @fortis_hospital Day by day more mystery in this case #NarendraModi #danish #justiceforzehen,1
Every state cm’s should learn concept of politics from Stalin sir from Tamil Naidu,1
Yogi G On Secularism In India 🔥 #YogiAdityanath #Secularism #India  https://t.co/sAltE8cIiy,1
"@rdparkar77 @AK33Astrology In nutshell he's telling in 2023, SM will influence Indian (or even world) political theater. The influence on politics will influence commoners life both +vely &amp; -vely   The reference to the CAT was the sequence of events in the matrix movie,",1
#BREAKING : Huge Win for #Bharat's Diplomacy!  #USA lawmakers provides #India with #CAATSAWaiver ; Next Senate  The Countering America’s Adversaries Through Sanctions Act (CAATSA) had remained on the table ever since India sealed S-400 missile deal with #Russia.  #SJaishankar 🔥,0
"@ashoswai @bainjal 2)   As @INCIndia  Govt.  without  #RahulGandhi   as PM is impossible , same applies for #BJP  Govt. without #Modi as PM.. Journalists are creating media bytes..  Also Dalit lead Govt. without #Mayawati  as PM is also impossible..  #NarendraModi     @RahulGandhi  @SushriMayawati",1
@PrakashKabra13 @PMOIndia @narendramodi @PMOIndia @narendramodi   It is the #BJP govt which is hell bent on making people’s lives miserable in the garb of development. Save #aravali #AravaliBachao  #Punjab has already taken the lead.,1
"@Subytweets @narendramodi @RahulGandhi Very well said, tks Suby👌Ears pl, Mr PM.... We the ppl don't wish to know  about your #PR exercise....Not interested. We've seen enough of disasters under your prime ministership. Pl step down as PM, damage can't be undone.... still...tks. #LoksabhaElections2019",1
"#CongWithTukdeGang She: Who killed Sikhs in 1984?
Rahul: Don't know, I was just 14yrs old 

She: Who killed Gandhi ?
Rahul: Godse - RSS ( Narrates as if he were eye witness ) #RahulGandhi #RahulGandhiInOdisha",1
" Makes sense, I`d totally show off a girlfriend by asking her to wear her high school prom dress",0
#JustIn | @RahulGandhi files nomination for #Wayanad seat in #Kerala #LokSabhaElections2019⁠ ⁠,1
@Starboy2079 @KMenon69 End of gandi congress in India will be the end of foreign intervention in Indian politics. No Indian opposition likes to bring in outside resources to help them win elections except congress because they are foreigners by nature and spirit.,1
"@timesofindia @RahulGandhi This is the effect of U-Turn Baba. @INCIndia is such an unorganised party that different leader of the same party give contradictory statements every other day. How can such a party rule the country.
#ModiLaoDeshBanao #LokSabhaElections2019",1
രൂപ താഴേയ്ക്ക് വീഴുന്നത് എന്തുകൊണ്ട്? നിങ്ങളെ എങ്ങനെ ബാധിക്കും #RupeeVsDollar #Rupee #Rupees #rupeefall #GDP #India #Government #Markets #marketing   https://t.co/2Xt37wSGYf,1
"""Two researchers from India amongst select few to use the James Webb Telescope!"" by @weatherindia  #JWST #JamesWebbSpaceTelescope #space #India   https://t.co/G20u98gAhD",0
"New clinical wellness resort brand to debut in India, following 8bn rupee investment @KEFHoldings #health #wellness #clinicalwellness #medicalwellness #spa #fitness #nutrition #medicine #Tulah #India  https://t.co/gecGdnIiDA  https://t.co/Wmn1GBpUMQ",0
Happy birthday sister! Wishing you are released soon! 🙏  #FarmersProtest  #BJPGovtDictatingTwitter  #ReleaseNodeepKaur twitter.com/rupikaur_/stat…,1
This innocent looking man is being forced into brute indian politics. BTW Happy Holi!  #RahulGandhi #Holi #होलिकोत्सव #होली https://t.co/3ghBtPE4FC,1
 https://t.co/m100VNWYPc  #I2U2Summit  #PMModi  #India,1
Mahapanchayat has be planned on 5th Sept to Aware the people of UP about Injustice and Inhuman behaviour of BJP towards Farmers... Come Out your Homes and SUPPORT the Mission...  “No Vote to BJP”   ...to save UP  #UP_किसान_महापंचायत_5Sep #FarmersProtest  #UP_किसान_महापंचायत_5Sep https://t.co/Ms6juQK6CT,1
 Thanks! I`m going to the Laker game tonight. Sec 108. I LOVE LA!,0
Brilliant bowling changes and field placements 👑 @ImRo45  🇮🇳 Vs 🇬🇧 #RohitSharma𓃵  #India #INDvsENG #Cricket,0
"@JahnaviJain_ @BJP4India @AmitShah @INCIndia @RahulGandhi Hahahahahahahahahaha🤣🤣🤣🤣🤣
#GoBackPappu #PhirEkBarModiSarkar
#BJP💪",1
"@sampitroda Why is it OK for many like you and in Media @sagarikaghose @ndtv @virsanghvi @CNNnews18 when @RahulGandhi Ji tell the PM Chowkidar Chor Hain.
But wait and watch #RahulScorpeneLink will is round the corner. History repeating. 

#LokSabhaElections2019",1
"Jawaharlal Nehru, Indira Gandhi, Hemant Karkare, the soldiers martyred in the Pulwama terror attack, Rajiv Gandhi — what is this election if not an act of using the dead to con the living?
#LokSabhaElections2019",1
"@kunalkamra88 @RahulGandhi Seriously!!
I am waiting
#RG4PM #LokSabhaElections2019 #ModiMatBanao",1
Please help me from the dirty politics of Indian students in the best college of India like IIM INDORE and IITs @elonmusk @BillGates @,1
im writing an exam on a SATURDAY  that should be illegal  where`s my weekend?,0
" or so a month. I put my 2 week`s notice in a little over a week ago, my last day is this friday!",0
"@RahulGandhi if sure he was never BRITISH CITIZEN, should file Criminal defamation like @M_Lekhi has done. WHY #INC battery of lawyers is at Loss to act",1
"@narendramodi is a firecracker,a leader India needs very much. #ModiUnstoppable #NationWithNaMo #NarendraModi #AbkiBaarPhirModiSarkar",1
"अपना घर चलाने के लिए ओवैसी ने लंदन में क्या कर दिखाया, सुनकर आपके होश उड़ जायेंगे।   #aimim #asaduddinowaisi #owaisi #india #news #politics #trending #darussalam #ReelsVideos #Reels  https://t.co/RpHFJ3kKFH",1
peopl india clear see rhetor bjp presid amit shah realis total failur bjp jammuampkashmir lack intellig rise crossbord violat flipflop foreign polici deterior lawamp order zero govern,1
been awake 19 hours,0
 there is always traffic heading back here to long island on fridays.,0
"@sonamJain001 @RahulGandhi Inshort Papuni means to vote for #BJP ...don mind but papuni dimag se thodi paidal h...
Lekin haa plz cast your vote..
#VoteForIndia",1
"@BabitaKri @bainjal U think #rahulgandhi is fit for running the country being a Gandhi does  not mean U are capable of running the nation.Nehru &amp; Gandhi Family has destroyed the nation for their self greed &amp; power hungry. Congress gave corruption, reservation,division, exploitation&amp; unaccountability",1
i wanna leave work already! Not feelin it 2day,0
@Warmonger1902 @Arun2981 That's different thing. India is a multi cultural country. Red Fort is a national symbol and it has no place for any other flag. Even farmer protest must not have any place for any religious flag. Please don't justify by sophistry. #RepublicDay2021 #FarmersProtest,1
"It's a chaotic pivotal time in global politics and global economics with Russia, China, Brazil, UK, Italy, US all realigning. Modi seems more obsessed with Gujarat elections &amp; Rahul's beard than actually being the Prime Minister of India.  Modi is a pracharak before he is Indian.",1
@ANI Biggest dramabaaz in Indian Politics,1
Happy #juddday everybody!,0
Five main themes in @INCIndia manifesto which resonates with party symbol of hand: @RahulGandhi @NewIndianXpress #LokSabhaElections2019,1
i hate waking up early! but i need to make up my 27 hrs at my pharmacy class. >=[ sighhh.  in other news: breakfast time!!!!,0
"If you don't want to bring Modi again
bring in cleanest govt. ever
Rahul G.
Robert V.
P Chid.
K Chid.

&amp; patriotic lieutenants
M S Iyer
Dig. Singh
Omar A.
Far. Abd
Kanh. Kumar

law &amp; order loving
M. Bannerjee
Mayawati
Yadav clan

&amp; ablest popular
Aravind K.
#LoksabhaElections2019",1
 Did they already get the tax money from Helio for his winning of the pole position! Ha ha!!,0
@RahulGandhi Modi's jaggernaut is  irrepressible...Opposition stands no chance of triumphing over the NDA/BJP. #MISSION2019 #BJP #CONGRESSMUKTBAHART,1
" Yeah it`s the Ford Focus Titanium, you only get the helicopter add on with the top-end luxury models unfortunately",0
@INCKerala It's a wrong decision it's all game plan of @chennithala. Pls for God's sake Kerala people r educated. We hv now #Ghatbandhan with opposition parties to remove #BJP then u all allowed @RahulGandhi to fight from #Wayanad he can fight from #Karnataka also to remove #BJP.,1
@manojnarahari @RahulGandhi @RahulGandhi is so powerful he is renting out building to other powerful people. #RahulGandhi for PM,1
DD Sports to broadcast #India's tour of #WestIndies  Read:  https://t.co/RF5T1U1Q8o  https://t.co/PE2dP8ClJ3,0
Welcome to team Modi 💥  #gautamgambhir #BJP @GautamGambhir,1
 PH and I are having a macaron smackdown...except he is not aware of it...It`s all being played out in my head,0
#BJP #CongressMuktBharat #RahulGandhiChorHai   Useless Congress party who were not able to score half century are demanding explaination from PM who single handedly won 2014. #PMO Do not hesitate to take toughest decision n kick them out. Nation is with Modiji . Proud Bhakt,1
Rohit Sharma doing the Shoulder socket thing.   #India #IndianCricketTeam #IndiaVSEnglandODIonSonyLIV  https://t.co/YG3pIxSAby #IndiaVSEnglandODIonSonyLIV,0
"Indian historian here we have achieved Thomas Babington Macaulay’s dream in Rishi Sunak, Indian in blood British in taste and education in this case also reactionary in politics.",1
 https://t.co/dbkSh4cX5o  #IndianArmy #ARMY #india,0
@ManishTewari @brinderdhillon @RahulGandhi @thetribunechd @INCIndiaLive @INCIndia It would be great sir if you come to our halqa Banga we will arrange a public gathering for #LokSabhaElections2019,1
Woo! Nachos AND ice cream  haha,0
 That is super sad   How is Bart etc holding up?,0
Forget the IQ of Rahul Gandhi... Imagine the IQ of those who supports a lot to him... 🤣#INC #RandipSurjewa,1
Shout out to my moms for wakin me up so prematurely! Preciate it,0
It`s Midnight - I`m outta here.  HAPPY MOTHER`S DAY FELLOW MOMMIES!!!  (And to non-Mommies too).  May EVERYONE have a special day!!!,0
Chal Jindiye  🎧#ਸਾਡਾ ਪਿੰਡ #ਸਾਡੇ ਖੇਤ  #FarmersProtest  #Melbourne https://t.co/Cgf7JSmhIs,1
"@moronhumor On Dec 8, the victory of two states will still be not considered as a real victory, but yes a lead in a municipality will be considered as earth shattering moment in Indian politics",1
प्रकोप प्रभावितलाई भारतले गर्‍यो राहत सामग्री सहयोग - NepalWatch  https://t.co/xRacKD50p4  #NepalWatch #India,0
"#BREAKING @INCIndia Chief @RahulGandhi announced RS 6000/- per month to bottom 20% of Indian population on economic scale irrespective of caste/religion against #Modi's Rs 6000/- per year to only #Farmers, if #Congress comes to power. #LokSabhaElections2019",1
पालघर की एक तस्वीर🌾🌾🌾 #Farming #Palghar #Maharashtra #India  https://t.co/aKJkMQ0ZYX,0
"Rahul assures that u don't work with #NyayScheme modi assures that u will get opportunity 2 do work &amp; earn respectfully with skilldevelopment ease of loans for those who need &amp; have brain 2 do something, not for them who just want 2 do comedy #LokSabhaElections2019 #ModiOnceMore",1
#GeorgeSoros You have no role in Indian politics and your statement about our PM is condemned .You are an instrument to destabilize another nation. Anti India criminal agent.,1
 *hug*,0
@RahulGandhi Happy Rahul Day @INCIndia @sherryontopp. Nobody wants job from you. We have our best team to provide everything @BJP4India #LoksabhaElections2019,1
 aww we love you too,0
Note to self: never ever leave the MacBook Pro on the stupid iCurve. It fell off.,0
thinks tonight couldn`t have gone more perfect.,0
bjp claim rafal document got stolen don t know stole it proof chacha nehru stole chowkidarchorhai,1
Rohit Sharma leads the list by a mile 👏🇮🇳  #rohitsharma #engvind #klrahul #sureshraina #harmanpreetkaur #deepakhooda #suryakumaryadav #india #cricket #sportzcraazy #followus  https://t.co/nrw5GbzNAB,0
"One more initiative to make #India clean - to install mobile toilets for travellers at every few kms on long roads &amp; to maintain them. Guruji @Gurmeetramrahim, you are engine of #TheWelfareExpress and we, its coaches  https://t.co/B6YraaAkt9",0
 I absolutely LOVE you.  Thanks,0
Haha … mr bean of Indian politics,1
"@IamSanjuSamson pls join Ireland team, politics in indian cricket team will spoil your cricket career.......",1
#OperationDost #HumanitarianAid  Operation Dost: Big Indian assistance to Turkey testifies its humanitarian preference over politics https://t.co/3w5hKg7lHu https://t.co/kJHZIkwnYu,1
"@manakgupta @RahulGandhi @smritiirani If any candidate of the @BJP4India contesting #LokSabhaElections2019, except for @narendramodi from #Amethi, those people will face defeat. #मोदी_है_तो_मुमकिन_है",1
I chopped a fringe in last night got tired of having it hang in my eyes. Made a mess,0
@RahulGandhi All questions answered by supreme court already. Now please shut down this drama and let Parliament work. People are fed up all this drama Congress and you have been doing. #RafaleDeal #BJP #Congress,1
"#EveningBrief | July 15, 2022 Check the interesting stories of the day at  https://t.co/84DvxLYkuI #Kerala #India #Monkeypox #CPM #MMMani #KKREMA #Dileep #ActressAssaultCase #PratapPothen #RajyaSabha #Parliament #protest  https://t.co/nUSfUINBtC",1
Anddd justin. Eff,0
"@ajaymaken @RahulGandhi And as a final touch, #Modi ji proved this world that not Rahul but he is the real #Pappu thereby making @RahulGandhi the perfect fit for the future!

Thank you Modi ji 😅
#BJP #Congress #RahulGandhi #Elections2019",1
  Thats charmingly funny,0
@IndiraniSudala1 Edappadyar is the ultimate unbeatable leader in Indian Politics.. Edappadyar is for the people and by the people....,1
What a Man he is..without any force without any guards he roams around. He is a Lion of Indian Politics #KejriwalForIndia https://t.co/luWynjTtKs,1
Watching Battlestar Galactica Season 1...Yeah you read it right!,0
oh godddd I coughed up a little bit of taco,0
"@ZeeNewsHindi बस यही फर्क है। @RahulGandhi is a DESTROYER by dynasty and @narendramodi is a CREATOR by choice.
#KahoDilSeModiPhirSe
#LokSabhaElections2019 
#ModiSpeaksToBharat 
#ModiHaiToMumkinHai 
#EkPostNamoKNaam 
@BJP4India",1
Trance or Drum`n`Bass are awesome for working!!  *dances it out*,0
#TheIndiaFix is a newsletter on Indian politics by @ShoaibDaniyal   This week's piece: https://t.co/ew3vbG36Zt  Sign up to get it in your inbox every Monday: https://t.co/8JRdO3goGa  Support our journalism by contributing to Scroll Ground Reporting Fund: https://t.co/ugkYiHIgvA https://t.co/GBvZVRRAs2,1
 lol! Ahhh well its a good song,0
"UAE’s $2 billion and US, Israel tech for India food parks #UAE #INDIA #ISRAEL #US #I2U2 #IRENA   https://t.co/x63VBvnxaw  https://t.co/DbsbkytXHQ",1
"Rahul Gandhi is not competent enough to win even some trade union election. He has no acumen/ability of a National leader. Comparing him with Modi is an insult of most honest, dedicated leader. India is fortunate to have Modi as PM.#BJP #ZN #ABP #PTC #AajTak #NarendraModi 👍👍👍",1
Respect 💙💚  Babar Azam 🤝 Virat Kohli   True Friendship 🇮🇳🇵🇰  @babarazam258 @imVkohli #BabarAzam #Viratkohli #India #Pakistan  https://t.co/rTXX8Hd7lu,0
"Rahul promises Minimum Basic Income in Gujarat Rally. 
#2019Elections 
#23_मई_भाजपा_गई 
#RahulGandhi",1
I really want to go to milwaukee but my sis doesn`t want to  well she won`t tell me,0
@ChekrishnaCk Deposit loser getting ready. These guys never learn from Indian politics.,1
@ANI @RahulGandhi &amp;his party would indulge politics over dead but now he has stopped so low that he has not even spared an sick man&amp;politicised his courtesy meeting with @manoharparrikar to score some poltical brownie point #Shameless #Rahulgandhi #RahulVsParrikar #GetWellSoonRahul,1
"""Open to constructive alliances, we are very flexible on the issue"": Rahul Gandhi

#CongressManifesto #LokSabhaElections2019",1
@bhupendrachaube @RahulGandhi @narendramodi Now opposition parties will file contempt petitions against #BJP leaders who have said that Pragya Thakur has been acquitted by COURT. BJP leaders have also used Courts to claim acquittal (clean chit).,1
" Sigh. It is a sad, lonely profession.",0
" Since obviously living in Alaska, only a few radio stations we get here.",0
"If u want to change the fruits, u will first have to change the roots. If u want to change the visible u must first change the invisible",0
BJP doing dirty politics to stop AAP govt from sending teachers to Finland for training: Sisodia- The New Indian Express https://t.co/wD71LQlFD9,1
Pune’s #KasbaByElection result is a major relief for the believers of democracy. Politics of Arrogance at the state level had reached it’s peak. Win of Dhangekar of Congress is an indication of solid foundation of Indian democracy.,1
We Indians are responsible for future of our Nation and need to be sincere to our duties and rights.. I promise @narendramodi that I will vote for sure and will bring awareness in peple around me.... #VoteKar  #VoterAwareness  #LoksabhaElections2019,1
"#PMK lawyer, Baalu: Make a note, within one week, the seven convicts in Rajiv Gandhi assassination case, including Perarivalan, will be released.

@drramadoss  @draramadoss ##LokSabhaElections2019",1
"@AmjadPK95 @RahulGandhi awesome speech #RahulGandhi ji
#RahulGandhi4PM",1
Old school! 🤙🏾 #NFTCommunity #NFT #NFTCommmunity #NFTProjects #NFTshill #USA #China #UnitedKingdom #Russia #Singapore #india #France #Trending  https://t.co/5FjdNH6Yc0,0
"Arnab, Rahul should come for debate and debate with you if he has guys. Are you listening #RahulGandhi  don't be a coward #RahulFakeNews",1
"In the Indian Politics, false allegations were made that the phones of certain politicians were being hacked and monitored using #Pegasus Tool. It turns out, the allegations were made when he heard a customer care executive who said ""your Calls may be recorded for training and…",1
 not if i`m not on the list,0
"Great to see such love and respect from Pakistan ❤️   Not only Babar, many from Pakistan showing their support towards Virat Kohli. Indians who are putting  unnecessary pressure on him must learn from them.🇮🇳🇵🇰  #BabarAzam𓃵 #ViratKohli #India #Pakistan  https://t.co/EExschyCMD",0
"@RameshPandey104 @sonamJain001 @smritiirani Ahi too hai different between congress or #BJP. Bjp supporter all time helping bad language for any comments against #Congress .

Damm @RahulGandhi Ka hai isliye he contests from 2 lokSaba sit.",1
"After ‘Boycott Muslims’ call comes VHP threat of killings, ‘will repeat Gujarat if situation demands  https://t.co/GHeYG9vdwV #india #boycott #muslims #gujarat  https://t.co/aWK39ykPP3",0
